model,term,estimate,conf.low,conf.high,odds_ratio,conf.low.or,conf.high.or
Frequentist Logistic,Context: Partial vs No,-0.7813098063149287,-0.9308640138187515,-0.6325876669614655,0.45780598126416705,0.39421295774228887,0.5312154123851925
Frequentist Logistic,Context: Full vs No,-1.615713858431793,-1.7708184095318584,-1.4621771905726326,0.1987487413233963,0.17019364371222692,0.2317312021209654
Frequentist Logistic,Specific vs General,-0.6931659882464721,-0.8161536773718233,-0.570737631893432,0.4999905962451683,0.44212895884240816,0.5651084429130083
Frequentist Logistic,Reporting vs Interpretation,-0.35300357204469607,-0.5147125702511729,-0.19197786921127363,0.7025746837445866,0.5976723587479504,0.8253251333857309
Frequentist Logistic,Calculation vs Interpretation,0.47922209832471474,0.2303490765725833,0.7304108775052297,1.6148177440496496,1.2590394343991291,2.0759333867992367
Frequentist Logistic,Adversarial vs Non-Adversarial,0.036549774744848336,-0.08699842232605025,0.16011441511312485,1.0372259303889295,0.9166785418518673,1.1736451460522697
Bayesian Logistic (Laplace Approx.),Context: Partial vs No,-0.7796764203740247,-0.9277854881896013,-0.6346364808319654,0.45855436615191497,0.39542842239563947,0.5301281650441135
Bayesian Logistic (Laplace Approx.),Context: Full vs No,-1.613630199280228,-1.7654175359047795,-1.4597108446382476,0.19916329770422744,0.17111532477511268,0.23230343680345922
Bayesian Logistic (Laplace Approx.),Specific vs General,-0.6922863521110793,-0.8199804284669221,-0.5748687414998641,0.500430599534007,0.44044027451304707,0.5627787334516297
Bayesian Logistic (Laplace Approx.),Reporting vs Interpretation,-0.3524005889900097,-0.5119786867238664,-0.1962878093931365,0.7029984521232722,0.5993085609382682,0.8217756858778893
Bayesian Logistic (Laplace Approx.),Calculation vs Interpretation,0.47859354333871645,0.23277260953025664,0.7129626441351294,1.613803061230528,1.2620944584438254,2.040026186177235
Bayesian Logistic (Laplace Approx.),Adversarial vs Non-Adversarial,0.03674813047917128,-0.0858848115516828,0.15344574211065196,1.0374316905061856,0.9176999335635576,1.1658445291425463
